Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Eudistylia vancouveri,NA,Present,Kachemak_Bay,Species,333271,"(Kinberg, 1866)",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Eudistylia vancouveri (Kinberg, 1866). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=333271 on 2024-02-21",2024-02-21,WORMS
Flabelligera affinis,Slime worm/Broom worm,Present,Kachemak_Bay,Species,130103,"M. Sars, 1829",Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Flabelligera,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Flabelligera affinis M. Sars, 1829. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130103 on 2024-02-21",2024-02-21,WORMS
Gattyana treadwelli,NA,Present,Kachemak_Bay,Species,254738,"Pettibone, 1949",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Gattyana treadwelli Pettibone, 1949. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254738 on 2024-02-21",2024-02-21,WORMS
Halosydna brevisetosa,Armored scale worm,Present,Kachemak_Bay,Species,333534,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Halosydna brevisetosa Kinberg, 1856. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=333534 on 2024-02-21",2024-02-21,WORMS
Harmothoe extenuata,NA,Present,Kachemak_Bay,Species,130762,"(Grube, 1840)",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Harmothoe extenuata (Grube, 1840). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130762 on 2024-02-21",2024-02-21,WORMS
Harmothoe imbricata,Scale worm,Present,Kachemak_Bay,Species,130769,"(Linnaeus, 1767)",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Harmothoe imbricata (Linnaeus, 1767). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130769 on 2024-02-21",2024-02-21,WORMS
Laonome kroyeri,NA,Present,Kachemak_Bay,Species,254745,"Malmgren, 1866",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Laonome,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Laonome kroyeri Malmgren, 1866. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254745 on 2024-02-21",2024-02-21,WORMS
Nereis vexillosa,Mussel worm,Present,Kachemak_Bay,Species,329765,"Grube, 1851",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Nereis vexillosa Grube, 1851. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=329765 on 2024-02-21",2024-02-21,WORMS
Nereis zonata,NA,Present,Kachemak_Bay,Species,130407,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Nereis zonata Malmgren, 1867. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130407 on 2024-02-21",2024-02-21,WORMS
Owenia collaris,NA,Present,Kachemak_Bay,Species,334327,"Hartman, 1955",Animalia,Annelida,Polychaeta,NA,Oweniidae,Owenia,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Owenia collaris Hartman, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=334327 on 2024-02-21",2024-02-21,WORMS
Pholoe minuta,Minute scaleworm,Present,Kachemak_Bay,Species,130603,"(Fabricius, 1780)",Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pholoe,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Pholoe minuta (Fabricius, 1780). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130603 on 2024-02-21",2024-02-21,WORMS
Polychaeta,bristle worms; polychaetes; polychete worms; polychetes,Present,Kachemak_Bay,Class,883,"Grube, 1850",Animalia,Annelida,Polychaeta,NA,NA,NA,WoRMS (2024). Polychaeta. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=883 on 2024-02-21,2024-02-21,WORMS
Potamilla neglecta,NA,Present,Kachemak_Bay,Species,130954,"(Sars, 1851)",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Potamilla,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Potamilla neglecta (Sars, 1851). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130954 on 2024-02-21",2024-02-21,WORMS
Prionospio steenstrupi,NA,Present,Kachemak_Bay,Species,131164,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Prionospio steenstrupi Malmgren, 1867. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131164 on 2024-02-21",2024-02-21,WORMS
Pseudopotamilla occelata,NA,Present,Kachemak_Bay,Species,331424,"Moore, 1905",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Pseudopotamilla,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Pseudopotamilla occelata Moore, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=331424 on 2024-02-21",2024-02-21,WORMS
Scoloplos armiger,armored bristleworm; bristleworm,Present,Kachemak_Bay,Species,130537,"(Müller, 1776)",Animalia,Annelida,Polychaeta,NA,Orbiniidae,Scoloplos,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Scoloplos armiger (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130537 on 2024-02-21",2024-02-21,WORMS
Serpula vermicularis,Calcareous tube worm,Present,Kachemak_Bay,Species,131051,"Linnaeus, 1767",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Serpula vermicularis Linnaeus, 1767. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131051 on 2024-02-21",2024-02-21,WORMS
Spio filicornis,bristleworm,Present,Kachemak_Bay,Species,131183,"(Müller, 1776)",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Spio filicornis (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131183 on 2024-02-21",2024-02-21,WORMS
Thelepus cincinnatus,Terebellid worm,Present,Kachemak_Bay,Species,131543,"(Fabricius, 1780)",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Thelepus,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Thelepus cincinnatus (Fabricius, 1780). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131543 on 2024-02-21",2024-02-21,WORMS
Thelepus crispus,Hairy-gilled worm,Present,Kachemak_Bay,Species,332560,"Johnson, 1901",Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Thelepus,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Thelepus crispus Johnson, 1901. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=332560 on 2024-02-21",2024-02-21,WORMS
Anisogammarus pugettensis,NA,Present,Kachemak_Bay,Species,423136,"(Dana, 1853)",Animalia,Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,Anisogammarus,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaș-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Anisogammarus pugettensis (Dana, 1853). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423136 on 2024-02-21",2024-02-21,WORMS
Archaeomysis grebnitzkii,NA,Present,Kachemak_Bay,Species,226485,"Czerniavsky, 1882",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Archaeomysis,"Mees, J.; Meland, K. (Eds) (2012 onwards). World List of Lophogastrida, Stygiomysida and Mysida. Archaeomysis grebnitzkii Czerniavsky, 1882. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=226485 on 2024-02-21",2024-02-21,WORMS
Balanidae,NA,Present,Kachemak_Bay,Family,106057,"Leach, 1817",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,NA,"WoRMS (2024). Balanidae Leach, 1817. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106057 on 2024-02-21",2024-02-21,WORMS
Balanus crenatus,an acorn barnacle; crenate barnacle; wrinkled barnacle,Present,Kachemak_Bay,Species,106215,"Bruguière, 1789",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,"WoRMS (2024). Balanus crenatus Bruguière, 1789. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106215 on 2024-02-21",2024-02-21,WORMS
Balanus glandula,Common acorn barnacle,Present,Kachemak_Bay,Species,394848,"Darwin, 1854",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,"WoRMS (2024). Balanus glandula Darwin, 1854. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=394848 on 2024-02-21",2024-02-21,WORMS
Balanus nubilus,Giant acorn barnacle,Present,Kachemak_Bay,Species,594745,"Darwin, 1854",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,"WoRMS (2024). Balanus nubilus Darwin, 1854. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=594745 on 2024-02-21",2024-02-21,WORMS
Cancer productus,Pacific rock crab; red crab; red rock crab,Present,Kachemak_Bay,Species,440382,"Randall, 1840",Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,"DecaNet eds. (2024). DecaNet. Cancer productus Randall, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=440382 on 2024-02-21",2024-02-21,WORMS
Carcinus maenas,European green crab,Potential+Invasive,Kachemak_Bay,Species,107381,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,"DecaNet eds. (2024). DecaNet. Carcinus maenas (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107381 on 2024-02-21",2024-02-21,WORMS
Chionoecetes bairdi,Bairdi crab; Snow crab; southern crab; southern Tanner crab,Present,Kachemak_Bay,Species,368558,"Rathbun, 1924",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,"DecaNet eds. (2024). DecaNet. Chionoecetes bairdi Rathbun, 1924. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=368558 on 2024-02-21",2024-02-21,WORMS
Chthamalus dalli,Little brown barnacle/Dall's barnacle,Present,Kachemak_Bay,Species,423276,"Pilsbry, 1916",Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,"WoRMS (2024). Chthamalus dalli Pilsbry, 1916. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423276 on 2024-02-21",2024-02-21,WORMS
Cryptolithodes typicus,Butterfly crab/Umbrella crab/Red shield crab,Present,Kachemak_Bay,Species,550617,"Brandt, 1848",Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Cryptolithodes,"DecaNet eds. (2024). DecaNet. Cryptolithodes typicus Brandt, 1848. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=550617 on 2024-02-21",2024-02-21,WORMS
Diaulota densissima,Narrow rove beetle,Present,Kachemak_Bay,Species,494645,"Casey, 1894",Animalia,Arthropoda,Hexapoda,Coleoptera,Staphylinidae,Diaulota,"WoRMS (2024). Diaulota densissima Casey, 1894. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=494645 on 2024-02-21",2024-02-21,WORMS
Discorsopagurus schmitti,Tube worm hermit crab,Present,Kachemak_Bay,Species,366310,"(Stevens, 1925)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Discorsopagurus,"DecaNet eds. (2024). DecaNet. Discorsopagurus schmitti (Stevens, 1925). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366310 on 2024-02-21",2024-02-21,WORMS
Elassochirus gilli,Orange hermit; Pacific red hermit; Pacific red hermit crab,Present,Kachemak_Bay,Species,366321,"(Benedict, 1892)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Elassochirus,"DecaNet eds. (2024). DecaNet. Elassochirus gilli (Benedict, 1892). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366321 on 2024-02-21",2024-02-21,WORMS
Elassochirus tenuimanus,wideband hermit crab; widehand hermit,Present,Kachemak_Bay,Species,366322,"(Dana, 1851)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Elassochirus,"DecaNet eds. (2024). DecaNet. Elassochirus tenuimanus (Dana, 1851). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366322 on 2024-02-21",2024-02-21,WORMS
Eriocheir sinensis,Chinese mitten crab,Potential+Invasive,Kachemak_Bay,Species,107451,"H. Milne Edwards, 1853",Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Eriocheir,"DecaNet eds. (2024). DecaNet. Eriocheir sinensis H. Milne Edwards, 1853. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107451 on 2024-02-21",2024-02-21,WORMS
Glebocarcinus oregonensis,pygmy rock crab,Present,Kachemak_Bay,Species,440384,"(Dana, 1852)",Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Glebocarcinus,"DecaNet eds. (2024). DecaNet. Glebocarcinus oregonensis (Dana, 1852). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=440384 on 2024-02-21",2024-02-21,WORMS
Gnorimosphaeroma oregonense,Pillbug isopod,Present,Kachemak_Bay,Species,1264222,"(Dana, 1853)",Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Gnorimosphaeroma,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Gnorimosphaeroma oregonense (Dana, 1853). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1264222 on 2024-02-21",2024-02-21,WORMS
Hapalogaster mertensii,hairy crab; hairy king crab,Present,Kachemak_Bay,Species,590107,"Brandt, 1850",Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Hapalogaster,"DecaNet eds. (2024). DecaNet. Hapalogaster mertensii Brandt, 1850. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=590107 on 2024-02-21",2024-02-21,WORMS
Hyas lyratus,Pacific lyre crab,Present,Kachemak_Bay,Species,442167,"Dana, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,"DecaNet eds. (2024). DecaNet. Hyas lyratus Dana, 1851. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=442167 on 2024-02-21",2024-02-21,WORMS
Idotea,NA,Present,Kachemak_Bay,Genus,118454,"Fabricius, 1798",Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Idotea Fabricius, 1798. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118454 on 2024-02-21",2024-02-21,WORMS
Idotea fewkesi,Fewkes' isopod,Present,Kachemak_Bay,Species,257347,"Richardson, 1905",Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2024). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Idotea fewkesi Richardson, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=257347 on 2024-02-21",2024-02-21,WORMS
Neomolgus littoralis,Red velvet mite,Present,Kachemak_Bay,Species,231986,"(Linnaeus, 1758)",Animalia,Arthropoda,Arachnida,Trombidiformes,Bdellidae,Neomolgus,"WoRMS (2024). Neomolgus littoralis (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=231986 on 2024-02-21",2024-02-21,WORMS
Oregonia gracilis,graceful decorator crab; triangular decorator crab,Present,Kachemak_Bay,Species,442171,"Dana, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,"DecaNet eds. (2024). DecaNet. Oregonia gracilis Dana, 1851. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=442171 on 2024-02-21",2024-02-21,WORMS
Orthopagurus minimus,toothshell hermit; toothshell hermit crab,Present,Kachemak_Bay,Species,364563,"(Holmes, 1900)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Orthopagurus,"DecaNet eds. (2024). DecaNet. Orthopagurus minimus (Holmes, 1900). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=364563 on 2024-02-21",2024-02-21,WORMS
Paguridae,hermit crabs; right-handed hermit crabs,Present,Kachemak_Bay,Family,106738,"Latreille, 1802",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,NA,"DecaNet eds. (2024). DecaNet. Paguridae Latreille, 1802. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106738 on 2024-02-21",2024-02-21,WORMS
Pagurus confragosus,knobbyhand hermit; knobbyhand hermit crab,Present,Kachemak_Bay,Species,366670,"(Benedict, 1892)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,"DecaNet eds. (2024). DecaNet. Pagurus confragosus (Benedict, 1892). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366670 on 2024-02-21",2024-02-21,WORMS
Pagurus hirsutiusculus,Hairy hermit crab,Present,Kachemak_Bay,Species,366699,"(Dana, 1851)",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,"DecaNet eds. (2024). DecaNet. Pagurus hirsutiusculus (Dana, 1851). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366699 on 2024-02-21",2024-02-21,WORMS
Pagurus ochotensis,Alaskan hermit; Alaskan hermit crab,Present,Kachemak_Bay,Species,366742,"Brandt, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,"DecaNet eds. (2024). DecaNet. Pagurus ochotensis Brandt, 1851. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366742 on 2024-02-21",2024-02-21,WORMS
Pandalus borealis,Deep-sea prawn; Deepwater prawn; deep-water prawn; Great northern prawn; northern pink shrimp; northern prawn; northern prawn/shrimp; northern shrimp; pink shrimp,Present,Kachemak_Bay,Species,107649,"Krøyer, 1838",Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,"DecaNet eds. (2024). DecaNet. Pandalus borealis Krøyer, 1838. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107649 on 2024-02-21",2024-02-21,WORMS
Pandalus danae,Dock shrimp,Present,Kachemak_Bay,Species,515462,"Stimpson, 1857",Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,"DecaNet eds. (2024). DecaNet. Pandalus danae Stimpson, 1857. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=515462 on 2024-02-21",2024-02-21,WORMS
Pandalus goniurus,Humpy shrimp,Present,Kachemak_Bay,Species,254483,"Stimpson, 1860",Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,"DecaNet eds. (2024). DecaNet. Pandalus goniurus Stimpson, 1860. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254483 on 2024-02-21",2024-02-21,WORMS
Pandalus hypsinotus,Coonstripe shrimp,Present,Kachemak_Bay,Species,515467,"Brandt, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,"DecaNet eds. (2024). DecaNet. Pandalus hypsinotus Brandt, 1851. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=515467 on 2024-02-21",2024-02-21,WORMS
Pandalus platyceros,Spot shrimp,Present,Kachemak_Bay,Species,423632,"Brandt, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,"DecaNet eds. (2024). DecaNet. Pandalus platyceros Brandt, 1851. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423632 on 2024-02-21",2024-02-21,WORMS
Paralithodes camtschaticus,Red king crab,Present,Kachemak_Bay,Species,233889,"(Tilesius, 1815)",Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Paralithodes,"DecaNet eds. (2024). DecaNet. Paralithodes camtschaticus (Tilesius, 1815). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=233889 on 2024-02-21",2024-02-21,WORMS
Peltogasterella gracilis,Graceful hermit-barnacle,Present,Kachemak_Bay,Species,463717,"(Boschma, 1927)",Animalia,Arthropoda,Thecostraca,NA,Peltogasterellidae,Peltogasterella,"Boyko, C.B. (2024). World List of Rhizocephala. Peltogasterella gracilis (Boschma, 1927). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=463717 on 2024-02-21",2024-02-21,WORMS
