Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Aconitum delphiniifolium,Mountain monkshood/Larkspurleaf monkshood,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrochaetium sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrosiphonia,NA,Present,Kachemak_Bay,Genus,143803,"J.Agardh, 1846",Plantae,Chlorophyta,Chlorophyceae,Acrosiphoniales,Acrosiphoniaceae,Acrosiphonia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosiphonia J.Agardh, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=143803 on 2024-02-21",2024-02-21,WORMS
Acrosiphonia arcta,Arctic Sea Moss,Present,Kachemak_Bay,Species,144407,"(Dillwyn) Gain, 1912",Plantae,Chlorophyta,Chlorophyceae,Acrosiphoniales,Acrosiphoniaceae,Acrosiphonia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosiphonia arcta (Dillwyn) Gain, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144407 on 2024-02-21",2024-02-21,WORMS
Acrosiphonia coalita,Green Rope,Present,Kachemak_Bay,Species,366445,"(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes, 1986",Plantae,Chlorophyta,Chlorophyceae,Acrosiphoniales,Acrosiphoniaceae,Acrosiphonia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosiphonia coalita (Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366445 on 2024-02-21",2024-02-21,WORMS
Acrosiphonia duriuscula,NA,Present,Kachemak_Bay,Species,608214,"(Ruprecht) Yendo, 1916",Plantae,Chlorophyta,Chlorophyceae,Acrosiphoniales,Acrosiphoniaceae,Acrosiphonia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosiphonia duriuscula (Ruprecht) Yendo, 1916. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=608214 on 2024-02-21",2024-02-21,WORMS
Actaea rubra,Red baneberry/Snakeberry,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actaea rubra ssp. arguta,Red baneberry/Snakeberry,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actiniaria,sea anemones; solitary anemones; true anemones,Present,Kachemak_Bay,Order,1360,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,NA,NA,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actiniaria. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1360 on 2024-02-21",2024-02-21,WORMS
Actitis macularia,Spotted Sandpiper,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adalaria proxima,false doris; yellow false doris,Present,Kachemak_Bay,Species,140629,"(Alder & Hancock, 1854)",Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Adalaria,"MolluscaBase eds. (2024). MolluscaBase. Adalaria proxima (Alder & Hancock, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140629 on 2024-02-21",2024-02-21,WORMS
Adiantum pedatum,Northern maidenhair fern,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adoxa moschatellina,Musk root/Moschatel,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegolius acadicus,Northern Saw-whet Owl,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegolius funereus,Boreal Owl,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeolidia papillosa,common grey sea slug; grey sea slug; maned nudibranch; papillose eolis; plumed sea slug; shag-rug aeolis,Present,Kachemak_Bay,Species,138709,"(Linnaeus, 1761)",Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,"MolluscaBase eds. (2024). MolluscaBase. Aeolidia papillosa (Linnaeus, 1761). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138709 on 2024-02-21",2024-02-21,WORMS
Aequorea aequorea sp.,Many-ribbed hydromedusa,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethia cristatella,Crested Auklet,Present,Kachemak_Bay,Species,344015,"(Pallas, 1769)",Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,"WoRMS (2024). Aethia cristatella (Pallas, 1769). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=344015 on 2024-02-21",2024-02-21,WORMS
Agarum clathratum,Sieve Kelp,Present,Kachemak_Bay,Species,157207,"Dumortier, 1822",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Agaraceae,Agarum,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Agarum clathratum Dumortier, 1822. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157207 on 2024-02-21",2024-02-21,WORMS
Agarum criborosum,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius phoeniceus,Red-winged Blackbird,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaophenia sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaophenia struthionides,Ostrich-plume hydroid,Present,Kachemak_Bay,Species,284054,"(Murray, 1860)",Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,"Schuchert, P. (2024). World Hydrozoa Database. Aglaophenia struthionides (Murray, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=284054 on 2024-02-21",2024-02-21,WORMS
Agonidae sp.,Unidentified poacher,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agoseris glauca,Short-beaked agoseris/Pale agoseris,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis exarata,Spike bentgrass/Alaska bentgrass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis gigantea,Redtop,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis mertensii,Merten's bentgrass/Northern bentgrass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis scabra,Rough bentgrass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrostis sp.,Bentgrass/Ticklegrass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahnfeltia fastigiata,Bushy Ahnfelt’s Seaweed,Present,Kachemak_Bay,Species,372235,"(Endlicher) Makienko, 1970",Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ahnfeltia fastigiata (Endlicher) Makienko, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372235 on 2024-02-21",2024-02-21,WORMS
Ahnfeltia plicata,red seaweed,Present,Kachemak_Bay,Species,144422,"(Hudson) E.M.Fries, 1836",Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ahnfeltia plicata (Hudson) E.M.Fries, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144422 on 2024-02-21",2024-02-21,WORMS
Alaria (praelonga),NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaria marginata,NA,Present,Kachemak_Bay,Species,371791,"Postels & Ruprecht, 1840",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Alaria marginata Postels & Ruprecht, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=371791 on 2024-02-21",2024-02-21,WORMS
Alces alces,Moose,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcyonidium pedunculatum,NA,Present,Kachemak_Bay,Species,470641,"Robertson, 1902",Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,"Bock, P. (2024). World List of Bryozoa. Alcyonidium pedunculatum Robertson, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=470641 on 2024-02-21",2024-02-21,WORMS
Alcyonidium sp.,Sea jelly bryozoan,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldisa sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium schoenoprasum,Wild chives,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allium schoenoprasum var. sibiricum,Wild chives,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allopora sp.,Pink branching hydrocoral,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnus incana ssp. tenuifolia,Thin-leaf alder,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnus sp.,Alder,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnus viridis ssp. crispa,Mountain alder,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alnus viridus ssp. sinuata,Sitka alder,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alopecurus aequalis,Shortawn foxtail,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alopecurus alpinus,Alpine foxtail/Boreal alopecurus,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alopecurus pratensis,Field foxtail/Meadow foxtail,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amelanchier alnifolia,Serviceberry/Saskatoon serviceberry,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amelanchier florida,Pacific serviceberry,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amelanchier sp.,Serviceberry,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amicula amiculata,NA,Present,Kachemak_Bay,Species,386339,"(Pallas, 1788)",Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Amicula,"MolluscaBase eds. (2024). MolluscaBase. Amicula amiculata (Pallas, 1788). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386339 on 2024-02-21",2024-02-21,WORMS
Ammodytes hexapterus,Pacific sand lance,Present,Kachemak_Bay,Species,254510,"Pallas, 1814",Animalia,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Ammodytes hexapterus Pallas, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254510 on 2024-02-21",2024-02-21,WORMS
Ampharete acutifrons,NA,Present,Kachemak_Bay,Species,129775,"(Grube, 1860)",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ampharete acutifrons (Grube, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129775 on 2024-02-21",2024-02-21,WORMS
Amphiodia occidentalis,Serpent star,Present,Kachemak_Bay,Species,242666,"(Lyman, 1860)",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,"Stöhr, S.; O’Hara, T.; Thuy, B. (Eds) (2024). World Ophiuroidea Database. Amphiodia occidentalis (Lyman, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=242666 on 2024-02-21",2024-02-21,WORMS
Amphiporus imparispinosus,NA,Present,Kachemak_Bay,Species,156295,"Griffin, 1898",Animalia,Nemertea,Hoplonemertea,Monostilifera,Amphiporidae,Amphiporus,"Norenburg, J.; Gibson, R.; Herrera Bachiller, A.; Strand, M. (2024). World Nemertea Database. Amphiporus imparispinosus Griffin, 1898. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=156295 on 2024-02-21",2024-02-21,WORMS
Amphissa columbiana,Columbian amphissa,Present,Kachemak_Bay,Species,511361,"Dall, 1916",Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Amphissa,"MolluscaBase eds. (2024). MolluscaBase. Amphissa columbiana Dall, 1916. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=511361 on 2024-02-21",2024-02-21,WORMS
Analipus japonicus,Bottlebrush Seaweed,Present,Kachemak_Bay,Species,371891,"(Harvey) M.J.Wynne, 1971",Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Analipus,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Analipus japonicus (Harvey) M.J.Wynne, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=371891 on 2024-02-21",2024-02-21,WORMS
Anarrhichthys ocellatus,Wolf-eel,Present,Kachemak_Bay,Species,279605,"Ayres, 1855",Animalia,Chordata,Teleostei,Perciformes,Anarhichadidae,Anarrhichthys,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Anarrhichthys ocellatus Ayres, 1855. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279605 on 2024-02-21",2024-02-21,WORMS
Anas acuta,Northern Pintail,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anas americana,American Wigeon,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anas clypeata,Northern Shoveler,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anas crecca,Green-winged Teal,Present,Kachemak_Bay,Species,158943,"Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,"WoRMS (2024). Anas crecca Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158943 on 2024-02-21",2024-02-21,WORMS
Anas discors,Blue-winged Teal,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anas penelope,Eurasian Wigeon,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anas platyrhynchos,Mallard,Present,Kachemak_Bay,Species,148791,"Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,"WoRMS (2024). Anas platyrhynchos Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=148791 on 2024-02-21",2024-02-21,WORMS
Anas strepera,Gadwall,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anconitum delphiniifolium ssp. delphiniifolium,Larkspurleaf monkshood,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancula pacifica,Pacific ancula,Present,Kachemak_Bay,Species,581643,"MacFarland, 1905",Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Ancula,"MolluscaBase eds. (2024). MolluscaBase. Ancula pacifica MacFarland, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=581643 on 2024-02-21",2024-02-21,WORMS
Andromeda polifolia,Bog rosemary,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Androsace septentrionalis,Pygmy flower rock jasmine,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Androsace spp.,Rock jasmine,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone drummondii,Drummond's anemone,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone multifida,Cut-leaf anemone/Pacific anemone,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone narcissiflora,Narcissus anemone/Narcissus-flowered anemone,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone narcissiflora var. monantha,Narcissus anemone,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone parviflora,Northern anemone/Small-flowered anemone,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anemone richardsonii,Yellow anemone/Richardson's anemone / Yellow thimbleweed,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelica genuflexa,Kneeling angelica,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angelica lucida,Angelica/Seawatch angelica/Seacoast angelica,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisodoris nobiiis,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisodoris nobili,Lemon peel/Pacific sea lemon,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisogammarus pugettensis,NA,Present,Kachemak_Bay,Species,423136,"(Dana, 1853)",Animalia,Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,Anisogammarus,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaș-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Anisogammarus pugettensis (Dana, 1853). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=423136 on 2024-02-21",2024-02-21,WORMS
Anoplagonus inermis,Smooth alligatorfish,Present,Kachemak_Bay,Species,279630,"(Günther, 1860)",Animalia,Chordata,Teleostei,Perciformes,Agonidae,Anoplagonus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Anoplagonus inermis (Günther, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279630 on 2024-02-21",2024-02-21,WORMS
Anoplopoma fimbria,Sablefish/Black Cod,Present,Kachemak_Bay,Species,159463,"(Pallas, 1814)",Animalia,Chordata,Teleostei,Perciformes,Anoplopomatidae,Anoplopoma,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Anoplopoma fimbria (Pallas, 1814). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159463 on 2024-02-21",2024-02-21,WORMS
Anser albifrons,Greater White-fronted Goose,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria alpina,Alpine pussytoes,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria friesiana ssp. alaskana,Fries' pussytoes/Alpine pussytoes,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria monocephala,Single-headed pussytoes/Pygmy pussytoes,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria rosea,Rosy pussytoes,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria rosea ssp. pulvinata,Pulvinate pussytoes,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antennaria spp.,Pussytoes,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthopleura artemisia,buried sea anemone; moonglow anemone,Present,Kachemak_Bay,Species,283337,"(Pickering in Dana, 1846)",Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Anthopleura artemisia (Pickering in Dana, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=283337 on 2024-02-21",2024-02-21,WORMS
Anthopleura elegantissima,Aggregating anemone,Present,Kachemak_Bay,Species,283347,"(Brandt, 1835)",Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Anthopleura elegantissima (Brandt, 1835). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=283347 on 2024-02-21",2024-02-21,WORMS
Anthopleura xanthogrammica,Giant green anemone,Present,Kachemak_Bay,Species,283377,"(Brandt, 1835)",Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Anthopleura xanthogrammica (Brandt, 1835). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=283377 on 2024-02-21",2024-02-21,WORMS
Anthus rubrescens,American Pipit,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antithamnionella pacifica,Hooked Skein,Present,Kachemak_Bay,Species,495958,"(Harvey) E.M.Wollaston, 1972",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Antithamnionella,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Antithamnionella pacifica (Harvey) E.M.Wollaston, 1972. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=495958 on 2024-02-21",2024-02-21,WORMS
Aphriza virgata,Surfbird,Present,Kachemak_Bay,Species,225897,"(Gmelin, 1789)",Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Aphriza,"WoRMS (2024). Aphriza virgata (Gmelin, 1789). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=225897 on 2024-02-21",2024-02-21,WORMS
